,latin_maxim,translation,description
1444,tu quoque,"""you too""","The logical fallacy of attempting to defend one's position merely by pointing out the same weakness in one's opponent. If a politician is criticized for advocating an inadequately-funded plan, and replies that his or her opponent's plan is equally inadequately funded, this is a 'tu quoque' argument: undermining the counterproposal on the same basis does not make the original plan any more satisfactory. Tu quoque may also refer to a ""hypocrisy"" argument, a form of ad hominem where a claim is dismissed as untrue on the basis that the claimant has contradicted his own advice. While contradiction may make the claimant's argument unsound, it does necessarily not make his claims untrue. It comes from the supposed last words of Julius Caesar"
1445,tuebor,"""I will protect""",Found on the Great Seal on the flag of the state of Michigan.
1446,uberrima fides,"""most abundant faith""","Or ""utmost good faith"" (cf. bona fide). A legal maxim of insurance contracts requiring all parties to deal in good faith."
1447,ubertas et fidelitas,"""fertility and faithfulness""",Motto of Tasmania.
1448,ubi bene ibi patria,"""where [it is] well, there [is] the fatherlan","Or ""Home is where it's good"". Patriotic motto."
1449,ubi caritas et amor Deus ibi est,"""where there is charity and love, God is ther",
1450,ubi jus ibi remedium,"""Where [there is] a right, there [is] a remed",
1451,ubi mel ibi apes,"""where [there is] honey, there [are] bees""",
1452,ubi dubium ibi libertas,"""where [there is] doubt, there [is] freedom""",Anonymous proverb.
1453,ubi libertas ibi patria,"""where [there is] liberty, there [is] the fat","Or ""where there is liberty, there is my country"". Patriotic motto."
1454,"Ubi nihil vales, ibi nihil velis","""Where you are worth nothing, there you will ","From the writings of the Flemish philosopher Arnold Geulincx; also quoted by Samuel Beckett in his first published novel, Murphy."
1455,ubi non accusator ibi non iudex,"""where [there is] no accuser, there [is] no j","Thus, there can be no judgement or case if no one charges a defendant with a crime. The phrase is sometimes parodied as ""where there are no police, there is no speed limit""."
1456,"ubi pus, ibi evacua","""where there is pus, there evacuate it""",
1457,"Ubique, quo fas et gloria ducunt","""Everywhere, Where Right And Glory Leads""","Motto of the Royal Regiment of Artillery and most other Artillery corps within the armies of the British Commonwealth (for example, the Royal Regiment of Australian Artillery and Royal Regiment of New Zealand Artillery)."
1458,ubi re vera,"""when, in a true thing""","Or ""whereas, in reality..."" Also rendered ubi revera (""when, in fact"" or ""when, actually"")."
1459,ubi societas ibi ius,"""if there's a society, law will be there""",Invented by Cicero.
1460,ubi solitudinem faciunt pacem appellant,"""They make a desert and call it peace""","from a speech by Calgacus reported/constructed by Tacitus, Agricola, ch. 30."
1461,ubi sunt,"""where are they?""","Nostalgic theme of poems yearning for days gone by. From the line ubi sunt qui ante nos fuerunt (""Where are they, those who have gone before us?"")."
1462,ultima ratio,"""last method""","The last resort. Short form for the metaphor ""The Last Resort of Kings and Common Men"" refering to the act of declaring war. Louis XIV of France had Ultima Ratio Regum (""last argument of kings"") engraved on the cannons of his armies. From here it names the French sniper rifle PGM Ultima Ratio Hecate II, the fictional Reason and is the motto of the 1st Battalion 11th Marines (with the incorrect Regnum)."
1463,ultimo mense (ult.),"""in the last month""","Formerly used in formal correspondence to refer to the previous month. Used with inst. (""this month"") and prox. (""next month"")."
1464,ultra vires,"""beyond powers""","""Without authority"". Used to describe an action done without proper authority, or acting without the rules. The term will most often be used in connection with appeals and petitions."
1465,ululas Athenas,"""(to send) owls to Athens""","From Gerhard Gerhards' (1466-1536) [better known as Erasmus] collection of annotated Adagia (1508). Latin translation of a classical greek proverb. Generally means putting large effort in a necessarily fruitless enterprise. Compare ""selling coal to Newcastle""."
1466,una hirundo non facit ver,"""One Swallow does not make Summer""",A single example of something positive does not necessarily mean that all subsequent similar instances will have the same outcome.
1467,una salus victis nullam sperare salutem,"""the only safety for the conquered is to hope","Less literally, ""the only safe bet for the vanquished is to expect no safety"". Preceded by moriamur et in media arma ruamus (""let us die even as we rush into the midst of battle"") in Virgil's Aeneid, book 2, lines 353?354. Used in Tom Clancy's novel Without Remorse, where character Clark translates it as ""the one hope of the doomed is not to hope for safety""."
1468,unitas per servitiam,"""Unity Through Service""",Motto for the St. Xavier's Institution Board of Librarians.
1469,uno flatu,"""in one breath""","Used in criticism of inconsistent pleadings, ie. ""one cannot argue uno flatu both that the company does not exist and that it is also responsible for the wrong."""
1470,unus multorum,"""one of many""",An average person.
1471,Urbi et Orbi,"""To the City and the Circle [of the lands]""","Meaning ""To Rome and the World"". A standard opening of Roman proclamations. Also a traditional blessing by the pope."
1472,Urbs in Horto,"""City in a garden""",Motto of the City of Chicago.
1473,Usus est magister optimus,"""Practice is the best teacher.""","In other words, practice makes perfect."
1474,ut biberent quoniam esse nollent,"""so that they might drink, since they refused","Also rendered with quando (""when"") in place of quoniam. From a story by Suetonius (Vit. Tib., 2.2) and Cicero (De Natura Deorum, 2.3). The phrase was said by Roman admiral Publius Claudius Pulcher right before the battle of Drepana, as he threw overboard the sacred chickens which had refused to eat the grain offered them?an unwelcome omen of bad luck. Thus, the sense is, ""if they do not perform as expected, they must suffer the consequences""."
1475,ut incepit fidelis sic permanet,"""as she began loyal, so she persists""","Thus, the state remains as loyal as ever. Motto of Ontario."
1476,"ut desint vires, tamen est laudanda voluntas","""though the power be lacking, the will is to ","From Ovid, Epistulae ex Ponto (III, 4, 79)."
1477,ut infra,"""as below""",
1478,ut prosim,"""That I may serve""","Motto of Twynham School, Christchurch, Dorset, England, King Henry VIII School, Abergavenny in Wales, Virginia Polytechnic Institute and State University (Virginia Tech), Wenona School, Danebank School and Old Swinford Hospital"
1479,Ut proverbium loguitur vetus...,"""You know what they say...""",Lit: As the old proverb says...
1480,ut res magis valeat quam pereat,"""That the matter may have effect rather than ",
1481,ut retro,"""as backwards""","Or ""as on the back side""; thus, ""as on the previous page"" (cf. ut supra)."
1482,"Ut Roma cadit, sic omnis terra.","""As Rome falls, so [falls] the whole world.""",
1483,ut sit finis litium,"""So there might be an end of litigation""","A traditional brocard. The full form is Interest reipublicae ut sit finis litium, ""it is in the government's interest that there be an end to litigation."" Often quoted in the context of statutes of limitation."
1484,ut supra,"""as above""",
1485,ut tensio sic vis,"""as the extension, so the force""",Robert Hooke's expression of his discovery of his law of linear elasticity.
1486,utilis in ministerium,"""usefulness in service""",Comes from 2 Timothy 4:11. Motto of Camberwell Girls Grammar School.
1487,utraque unum,"""both into one""","Also translated as ""that the two may be one.""[2] Motto of Georgetown University."
1488,vade ad formicam,"""go to the ant""","A Biblical phrase from the Book of Proverbs. The full quotation translates as ""go to the ant, O sluggard, and consider her ways, and learn wisdom""."
1489,vade mecum,"""go with me""","A vade-mecum or vademecum is an item one carries around, especially a handbook."
1490,vade retro Satana,"""Go back, Satan!""","An exhortation for Satan to begone, often used in response to temptation. From a popular Medieval Catholic exorcism formula, based on a rebuke by Jesus to Peter in the Vulgate, Mark 8:33: vade retro me Satana (""step back from me, Satan!""). The older phrase vade retro (""go back!"") can be found in Terence's Formio I, 4, 203."
